system,n,mean_score,ci95_lo,ci95_hi,disk_size_mb,peak_rss_mb_mean,decode_tokens_per_s_mean,load_time_s_mean
CPU-SLM,100,0.694044,0.61371845,0.7716482,1065.6,2801.92,50.734,0.9319900000000001
Larger-Local,100,0.8093549999999999,0.7463023000000001,0.8695638250000001,4466.1,7802.6900000000005,8.481,11.425799999999999
