test_type,mean,std,min,max,cv_pct,pearson_r_vs_run
pp,202.72468,47.30019876607285,141.479,292.495,23.33223501256623,-0.8865949256172506
tg,11.50532,4.5288086063923405,2.717,20.821,39.36273485998078,-0.708030575229941
