replicas,throughput_fixed_concurrency20,error_rate_fixed_concurrency20,throughput_scaled_concurrency,error_rate_scaled_concurrency
1,0.5205378471742178,0.22,0.6202344463285414,0.09803921568627451
2,0.4018048775998233,0.4230769230769231,0.36171207688768936,0.7111111111111111
3,0.4705680529722609,0.30612244897959184,0.30863326667199503,0.8294573643410853
