concurrency,n,errors,error_rate,wall_clock_s,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,corrected_latency_p50_ms,corrected_latency_p95_ms,corrected_latency_p99_ms,queue_delay_p50_ms,queue_delay_p99_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tokens_per_second_mean
1,14,0,0.0,21.127815917,0.6626335658640053,1493.6528125,1774.5810645999998,2014.24978012,2074.166959,1493.653146,1774.58190165,2014.2511803300001,0.0003545,0.19638533,112.0,390.45,414.89,47.039673357832534
2,14,0,0.0,22.383864584,0.6254505314514459,3185.201792,3529.1962227999998,3585.31551096,3599.345333,3185.2021255,3529.19654145,3585.31580829,0.000333,0.01181404,23.5,49.749999999999964,83.55,41.13034368471789
5,16,0,0.0,28.649687625,0.5584703124664523,8722.244792000001,9560.57047975,9613.65732955,9626.929042,8722.249791999999,9560.57091675,9613.65781695,0.0004375,0.00959995,26.5,220.49999999999994,274.5,37.17886059150772
10,19,0,0.0,42.2460695,0.449745981694226,20745.471166,23431.147149700002,23625.266829940003,23673.79675,20745.471708,23431.1476372,23625.26722744,0.000584,0.011673759999999998,33.0,520.0999999999998,708.02,30.22793147566212
20,28,8,0.2857142857142857,47.912618291,0.4174265718172375,24597.036479000002,29196.503467,29288.365427,29311.330917,24597.036957999997,29196.503883999998,29288.365844,0.0004795,0.009603809999999999,35.0,379.7499999999998,603.9499999999999,27.238162669528556
40,48,35,0.7291666666666666,48.943065334,0.2656147487143413,16619.203666,27666.228266,28801.774586,29085.661166,16619.204833,27666.2296248,28801.77602496,0.00225,0.009581119999999999,38.0,362.7999999999999,464.56,26.489118946275827
80,86,73,0.8488372093023255,41.722512708,0.3115823845745355,21061.928875,28568.6776002,28869.69002004,28944.943125,21061.930625,28568.678516800002,28869.69133696,0.001125,0.060476959999999996,43.0,1437.9999999999998,1584.3999999999999,28.85755030969039
