replicas,recovery_time_s,n,errors,error_rate,wall_clock_s,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,corrected_latency_p50_ms,corrected_latency_p95_ms,corrected_latency_p99_ms,queue_delay_p50_ms,queue_delay_p99_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tokens_per_second_mean
1,15.045789,50,15,0.3,68.187923958,0.5132873677391626,7211.223416,11581.728895699998,13744.15247134,14280.867291,7211.223708,11581.729037499998,13744.152582059998,0.000375,0.47966,247,480.19999999999976,656.64,50.68288580384221
2,6.790212,55,3,0.05454545454545454,66.412966791,0.7829796275122408,5024.730750000001,7384.460504349999,7801.90958075,7914.678167,5024.7316875,7384.460818899999,7801.9099343299995,0.0003545,0.19559474,362,915.75,958.88,34.22721268091418
