n_threads,test_type,avg_ts,stddev_ts
1,pp,302.461085,13.188133
2,pp,384.87895,5.083559
3,pp,380.067159,9.074799
4,pp,348.479097,4.269515
5,pp,230.34515,5.42284
6,pp,217.719596,2.55471
8,pp,195.049293,2.504985
10,pp,178.433964,1.631888
1,tg,19.011788,0.478963
2,tg,22.458596,0.168168
3,tg,22.429346,0.138587
4,tg,22.235826,0.257255
5,tg,18.914311,0.939324
6,tg,15.928702,0.102988
8,tg,14.294311,0.123793
10,tg,9.482868,0.296326
