target_prompt_tokens,ttft_s_mean,ttft_s_std,decode_tokens_per_s_mean,decode_tokens_per_s_std,peak_rss_mb_mean,peak_rss_mb_std
128,0.5670599999999999,0.014675421629377438,21.8,0.4519402615390667,3742.2599999999998,57.349437660712944
512,1.96248,0.04262976659565473,19.734,0.24602845363900622,3817.4199999999996,4.6364857381426985
1024,4.01934,0.13220776452236088,18.064,0.49155874521770115,3821.3,4.377784827969483
2048,9.696439999999999,0.15448895753418757,15.892,1.0289654999075524,3819.6400000000003,3.7613827244777074
4096,26.39748,0.19387576434407708,13.597999999999999,0.21370540470469973,3828.7599999999998,6.718854068961397
