test_type,mean,std,min,max,cv_pct,pearson_r_vs_run
pp,230.06153333333336,31.13609436089529,126.084,286.021,13.533811545880024,0.32132546687893976
tg,15.722366666666666,1.7041256931813804,11.201,17.413,10.838862426445854,0.5606485536529635
