background_hogs,test_type,mean,std
0,pp,296.822,39.46220328998372
0,tg,20.555,0.3574989510474129
2,pp,208.00619999999998,11.910515719312896
2,tg,16.069,1.0123228240042785
4,pp,169.5636,8.537602989129915
4,tg,13.131200000000002,0.6526991650063605
8,pp,170.0876,0.755184944235506
8,tg,11.081399999999999,1.5738377616514343
