quant_level,category,mean,std,count
F16,classification,1.0,0.0,16
F16,information_extraction,0.65625625,0.3160472748788278,16
F16,instruction_following,0.6666666666666666,0.48507125007266594,18
F16,reasoning,0.5555555555555556,0.5113099925649136,18
F16,structured_output,0.9166624999999999,0.2277214025221755,16
F16,summarization,0.4388,0.1402376411666996,16
Q8_0,classification,1.0,0.0,16
Q8_0,information_extraction,0.65625625,0.3160472748788278,16
Q8_0,instruction_following,0.6666666666666666,0.48507125007266594,18
Q8_0,reasoning,0.6111111111111112,0.5016313257045503,18
Q8_0,structured_output,0.9166624999999999,0.2277214025221755,16
Q8_0,summarization,0.46036875,0.14491469085292905,16
Q6_K,classification,1.0,0.0,16
Q6_K,information_extraction,0.8073,0.18933619481405733,16
Q6_K,instruction_following,0.6666666666666666,0.48507125007266594,18
Q6_K,reasoning,0.6111111111111112,0.5016313257045503,18
Q6_K,structured_output,0.9166624999999999,0.2277214025221755,16
Q6_K,summarization,0.4042375,0.14385244233820524,16
Q5_K_M,classification,1.0,0.0,16
Q5_K_M,information_extraction,0.7708375,0.2140885077874725,16
Q5_K_M,instruction_following,0.7222222222222222,0.4608885989624768,18
Q5_K_M,reasoning,0.5,0.5144957554275265,18
Q5_K_M,structured_output,0.9166624999999999,0.2277214025221755,16
Q5_K_M,summarization,0.402025,0.18141318033704165,16
Q4_K_M,classification,1.0,0.0,16
Q4_K_M,information_extraction,0.70833125,0.250933443283938,16
Q4_K_M,instruction_following,0.7222222222222222,0.4608885989624768,18
Q4_K_M,reasoning,0.6111111111111112,0.5016313257045503,18
Q4_K_M,structured_output,0.8541624999999999,0.3213181764233079,16
Q4_K_M,summarization,0.27528125000000003,0.21758793844864963,16
Q3_K_M,classification,1.0,0.0,16
Q3_K_M,information_extraction,0.55729375,0.38935187764411777,16
Q3_K_M,instruction_following,0.5,0.5144957554275266,18
Q3_K_M,reasoning,0.6111111111111112,0.5016313257045503,18
Q3_K_M,structured_output,0.8229124999999999,0.33037534789993034,16
Q3_K_M,summarization,0.45336875,0.12873158492900383,16
