,load_time_s,mem_before_mb,mem_after_mb,mem_delta_mb
mean,3.2137599999999997,461.03399999999993,521.7110000000001,60.675
median,3.1186999999999996,462.425,510.345,73.1
std,0.5597808543429196,115.07404004958428,173.21843258665567,121.20680657913196
min,2.7998,321.91,236.5,-88.66
max,4.7441,677.53,883.77,209.39
