requested_output_tokens,ttft_s_mean,ttft_s_median,ttft_s_std,ttft_s_min,ttft_s_max,decode_time_s_mean,decode_time_s_median,decode_time_s_std,decode_time_s_min,decode_time_s_max,total_time_s_mean,total_time_s_median,total_time_s_std,total_time_s_min,total_time_s_max,decode_tokens_per_s_mean,decode_tokens_per_s_median,decode_tokens_per_s_std,decode_tokens_per_s_min,decode_tokens_per_s_max
16,0.44277999999999995,0.2956,0.4265346316537497,0.2,1.2006,1.60626,1.6228,0.15176141802184104,1.4496,1.8388,2.04902,1.9367,0.38885453192678626,1.6496,2.6937,9.404,9.24,0.8544764478907533,8.16,10.35
64,0.30258,0.3042,0.015116944135637989,0.2869,0.325,6.59104,6.4036,0.28645441696716745,6.3605,6.92,6.89362,6.6905,0.2987388608802006,6.6509,7.245,9.572,9.84,0.4089865523461626,9.1,9.9
256,0.32073999999999997,0.3192,0.017179289857267098,0.2976,0.3415,29.58782,28.8327,2.0459419009346282,27.7154,32.4816,29.90858,29.1303,2.0576568462695612,28.0347,32.8144,8.65,8.84,0.5809905334857014,7.85,9.2
512,0.31234,0.3103,0.005095880689341147,0.3066,0.319,55.1097,55.1176,0.3748055162347539,54.6455,55.6623,55.42206,55.4338,0.3791633988137571,54.9521,55.9813,9.272,9.27,0.06220932405998258,9.18,9.35
